,HEK293T,HeLa,A549,HaCaT,MCF7,HUH7,PC3,Tera1,JEG3,SKNSH
10_miRNA_full_repeat_x6_46,0.32653247025020415,1.2530088513469897,0.997308321416835,1.9662126818980457,0.991784145527402,0.5357316368737223,2.1186957191985054,1.07370405265814,1.0029668382730397,0.6960685798103193
10_miRNA_full_repeat_x6_47,0.2278697636119167,0.22264492526654373,0.2739764900872206,0.20031308650820873,0.26021876281330764,0.20357506724658483,0.05627186000027977,0.1617797280449761,0.27140988798762017,0.17121681355501747
10_miRNA_full_repeat_x6_48,0.08413846567513786,0.10752893362117302,0.07391481182877119,0.10911149597725574,0.24216086353718122,0.09568697677016125,0.08404354359377486,0.10707732030007958,0.31009726525399967,0.08455113778483317
10_miRNA_full_repeat_x6_49,0.4411051088997047,0.5722879515184031,0.7530687718389957,0.49209716324140196,0.5788618236298592,0.7884336645394979,0.3680477896000766,0.6135807182369188,0.6997582984662721,0.2705825546281579
10_miRNA_full_repeat_x6_50,1.255661837417619,3.8595421218322694,2.3353314031303545,3.5287543056575155,1.5260762469820448,2.913635941354414,2.8740410460323447,1.4788333714959099,1.8160717861821276,1.1177916476002656
10_miRNA_full_repeat_x6_51,0.22703563082127345,0.4932969741229245,0.6985109882949615,0.49533696959566775,0.6685966043654029,0.4080057171192215,0.348719318869828,0.32166350869433213,0.7046376013149462,0.4974928826180876
10_miRNA_full_repeat_x6_52,1.4518511584141367,1.255661837417619,1.0978126647845814,1.3000610771767664,1.2870440904396319,1.255661837417619,1.3609767320452806,1.7447048285004025,1.5827016496702158,0.33027316404031676
10_miRNA_full_repeat_x6_53,0.37475886839122624,0.5017629883627545,0.5073017382747803,0.385463174250453,0.7804331830685737,0.528399197271785,0.24717584836065654,0.2933431881376642,0.530434436036851,0.7814578907029367
10_miRNA_full_repeat_x6_54,0.7417500052349006,0.48886794321894234,0.8559446082861143,0.5869810742208097,1.091875129310455,0.6782317463303097,0.5246784773409795,0.7214761349364943,0.7470562377215134,0.5974243828156542
10_miRNA_full_repeat_x6_55,0.41253317972916836,1.2219301637341964,0.9950284988944699,2.526126308624962,0.8086366350015487,1.432973051973409,0.8631733361107227,0.9158707842675007,1.4294031731041321,0.4122405027033214
10_miRNA_full_repeat_x6_56,0.18327763772292674,1.002879256171926,0.9588229983297988,1.5362339149281825,0.40819505179168164,1.229143741747926,0.9140863922385597,0.39188088836803997,1.1551274124101718,0.39607893271348277
10_miRNA_full_repeat_x6_57,0.4558112428282456,0.6111782363536945,0.8257857212232171,0.6780741131902025,0.9427090956564385,0.7133201708815657,0.28907408147983876,0.7222598078705625,0.6070437158248108,0.7096047426255204
10_miRNA_full_repeat_x6_58,0.5078168643179022,0.41370335284304394,0.40314982221280443,1.0477142435993427,1.255661837417619,0.4150304182793382,1.1653520440521727,0.9545195522397386,0.989167974764879,1.5556885105158536
10_miRNA_full_repeat_x6_59,1.2384761052758222,1.0234650804737169,1.255661837417619,0.7743985138240347,1.1814063839775377,1.270453934910084,0.7137775217862037,1.0882114428989569,0.9167480491615506,0.9413025980654184
10_miRNA_full_repeat_x6_60,0.7360397940879361,0.6297409952797084,0.6605744877297968,0.5932883117686376,0.765593631447695,0.7445000526781829,0.45161096784250254,0.5709161864909165,0.5065000849123187,0.7734036852730604
10_miRNA_full_repeat_x6_61,0.8124767751865087,0.6920551513506287,0.6180772800525808,0.3994168831017127,0.42185041416412017,0.7575303817309438,0.5292835539687683,0.30075557010290105,0.5533044906753007,0.14102463372175789
10_miRNA_full_repeat_x6_62,0.8802662926714545,1.5884716753169092,1.194313583651029,2.3654362912661084,1.45916754868582,0.9801581763949782,7.268125439264046,1.498361410157527,1.9839809813982232,0.7334914641225021
10_miRNA_full_repeat_x6_63,0.9681178949057385,0.30841237041500025,0.33864134149731623,0.2726090748966526,1.0145082287876972,0.7383440688573563,0.5336226314427792,0.652084434686731,0.45241980975775775,0.8502582703392175
10_miRNA_full_repeat_x6_64,0.8456420732152645,0.48542302891331474,0.8556270885228171,0.5282856953598954,0.7908590708554364,0.8091010793611538,0.06448892679139549,0.7312119265446497,0.6779548321432924,0.5948995091346558
10_miRNA_full_repeat_x6_65,0.19702011186473725,0.08070307582445455,0.06466457475090047,0.18491075114902233,0.08162232056645574,0.2108935291960328,0.14540412973013758,0.29045780586803926,0.36244785572399557,0.23672271560922994
10_miRNA_full_repeat_x6_66,0.23850382669949383,0.36895497436208896,0.35593322764249513,0.22512634522778227,0.5111955451558101,0.6062932664778627,0.13929655059596105,0.18905855203424463,0.6064431080652039,0.41802235067431626
10_miRNA_full_repeat_x6_67,0.8128811298337753,0.8841365057488823,0.8699645118901183,0.6940476866224254,1.0852621836224972,0.9506056285520613,0.5582801386934937,0.8791056107056873,0.4362304601578318,0.8178978270292876
10_miRNA_full_repeat_x6_68,1.4460852520692766,1.4338350019743675,1.335682072249524,1.0261098616194657,1.086467048778243,1.1703899083092208,1.4213504153303813,1.2941584399632262,1.0807773452549023,1.3081171183499563
10_miRNA_full_repeat_x6_69,0.3742459915102,0.2578850570831986,0.24138320991456289,0.4133844766408615,0.480877954654117,0.5173546845407735,0.38681862200119527,0.2938102446215247,0.6286217074538474,0.32545267379045034
10_miRNA_full_repeat_x6_70,0.8602294100618371,0.6335132864813375,0.6851921565583945,0.6464805128479887,0.8745289758496214,0.8426109666921441,0.3863189024559334,0.8893532021196838,0.9121712602000537,0.697788436975148
10_miRNA_full_repeat_x6_71,0.20611969415289658,0.14077857285602666,0.2813426135355244,0.15352784970424016,0.14051600244679052,0.6690918038848356,0.06414380255567895,0.14700314503397427,0.5185440167822298,0.08607661490270122
10_miRNA_full_repeat_x6_72,0.5457498901729958,0.5181219007581596,0.46654991410913266,0.5680644406586846,0.7745145259519108,0.42317104231152897,0.3806429109558874,0.6725116546719107,0.6241025385462596,0.5921042901088869
10_miRNA_full_repeat_x6_73,1.3375899983380484,1.5824070129555898,1.5910389472264237,1.1793830858693792,1.292479818793932,1.5689646601953329,1.4337436951085156,0.9750973267934057,1.255661837417619,1.2508010131843261
10_miRNA_full_repeat_x6_74,0.16218389894311852,0.17601711279781346,0.09242381926480034,0.03876930465073116,0.9979014914189125,0.30860175509276716,0.04150487359192346,0.06280965168384517,0.8640769453241467,1.255661837417619
10_miRNA_full_repeat_x6_75,0.8973545549175194,1.0025647554057389,1.1885828206376825,0.6186486580173841,0.8407095001572882,1.238113423657347,0.7655293701207595,0.7101870826384874,0.5356449892606311,1.0448577609078569
10_miRNA_full_repeat_x6_76,0.6381204268807177,0.40590689614850045,0.6063057152650347,0.6167132179961261,0.3235674318317877,0.8593887366205748,0.4122806164480045,0.4104689621463219,0.8774784799206743,0.2716260604636057
10_miRNA_full_repeat_x6_77,1.666050259575087,1.521659744970283,0.5636435226101494,1.255661837417619,1.4083435084365494,1.552130980356298,0.516788102933597,1.255661837417619,1.0444474688755647,1.7543879572737997
10_miRNA_full_repeat_x6_78,0.5906011877615615,0.8901601118103649,0.7233092937600516,0.7795474518337868,0.7493167112986135,0.7478933293716813,0.3976605986543521,0.5956130487146862,0.5686716103900941,0.9049463479547003
10_miRNA_full_repeat_x6_79,0.7408270473550372,0.6516383814028449,0.5215555481738686,0.04884277921392398,0.096260455145698,0.4752531182873469,0.4332547783460991,0.604950266444997,0.367381630253013,0.7529746216203912
10_miRNA_full_repeat_x6_80,0.38888578343606295,0.21488982051535313,0.31126038032327347,0.09210655900294544,0.46755937484980403,0.6095459833135216,0.21145289067015438,0.16445288503035407,0.13450127705709053,0.6649494780967894
